datetime,open,high,low,close,average,sma10,sma20,sma50
1974-12-23 06:00:00,1.3184,1.3184,1.3184,1.3184,1.3184,,,
1974-12-30 06:00:00,1.3273,1.3273,1.3273,1.3273,1.3273,,,
1975-01-06 06:00:00,1.3268,1.3268,1.3268,1.3268,1.3268,,,
1975-01-13 06:00:00,1.3543,1.3543,1.3543,1.3543,1.3543,,,
1975-01-20 06:00:00,1.3472,1.3472,1.3472,1.3472,1.3472,,,
1975-01-27 06:00:00,1.3374,1.3374,1.3374,1.3374,1.3374,,,
1975-02-03 06:00:00,1.3546,1.3546,1.3546,1.3546,1.3546,,,
1975-02-10 06:00:00,1.3641,1.3641,1.3641,1.3641,1.3641,,,
1975-02-17 06:00:00,1.3847,1.3847,1.3847,1.3847,1.3847,,,
1975-02-24 06:00:00,1.3615,1.3615,1.3615,1.3615,1.3615,1.34763,,
1975-03-03 06:00:00,1.3682,1.3682,1.3682,1.3682,1.3682,1.35261,,
1975-03-10 06:00:00,1.3686,1.3686,1.3686,1.3686,1.3686,1.35674,,
1975-03-17 06:00:00,1.3561,1.3561,1.3561,1.3561,1.3561,1.35967,,
1975-03-24 06:00:00,1.3455,1.3455,1.3455,1.3455,1.3455,1.35879,,
1975-03-31 06:00:00,1.3425,1.3425,1.3425,1.3425,1.3425,1.35832,,
1975-04-07 06:00:00,1.3459,1.3459,1.3459,1.3459,1.3459,1.35917,,
1975-04-14 06:00:00,1.3481,1.3481,1.3481,1.3481,1.3481,1.35852,,
1975-04-21 06:00:00,1.3504,1.3504,1.3504,1.3504,1.3504,1.35715,,
1975-04-28 06:00:00,1.3648,1.3648,1.3648,1.3648,1.3648,1.35516,,
1975-05-05 06:00:00,1.3643,1.3643,1.3643,1.3643,1.3643,1.35544,1.35154,
1975-05-12 06:00:00,1.3776,1.3776,1.3776,1.3776,1.3776,1.35638,1.3545,
1975-05-19 06:00:00,1.3708,1.3708,1.3708,1.3708,1.3708,1.3566,1.35667,
1975-05-26 06:00:00,1.3731,1.3731,1.3731,1.3731,1.3731,1.3583,1.35899,
1975-06-02 06:00:00,1.3757,1.3757,1.3757,1.3757,1.3757,1.36132,1.36005,
1975-06-09 06:00:00,1.3748,1.3748,1.3748,1.3748,1.3748,1.36455,1.36143,
1975-06-16 06:00:00,1.3663,1.3663,1.3663,1.3663,1.3663,1.36659,1.36288,
1975-06-23 06:00:00,1.3425,1.3425,1.3425,1.3425,1.3425,1.36603,1.36227,
1975-06-30 06:00:00,1.3243,1.3243,1.3243,1.3243,1.3243,1.36342,1.36029,
1975-07-07 06:00:00,1.2968,1.2968,1.2968,1.2968,1.2968,1.35662,1.35589,
1975-07-14 06:00:00,1.2816,1.2816,1.2816,1.2816,1.2816,1.34835,1.3519,
1975-07-21 06:00:00,1.2636,1.2636,1.2636,1.2636,1.2636,1.33695,1.34667,
1975-07-28 06:00:00,1.2596,1.2596,1.2596,1.2596,1.2596,1.32583,1.34122,
1975-08-04 06:00:00,1.2615,1.2615,1.2615,1.2615,1.2615,1.31467,1.33649,
1975-08-11 06:00:00,1.2645,1.2645,1.2645,1.2645,1.2645,1.30355,1.33244,
1975-08-18 06:00:00,1.2582,1.2582,1.2582,1.2582,1.2582,1.29189,1.32822,
1975-08-25 06:00:00,1.2563,1.2563,1.2563,1.2563,1.2563,1.28089,1.32374,
1975-09-01 06:00:00,1.2509,1.2509,1.2509,1.2509,1.2509,1.27173,1.31888,
1975-09-08 06:00:00,1.2299,1.2299,1.2299,1.2299,1.2299,1.26229,1.31286,
1975-09-15 06:00:00,1.2192,1.2192,1.2192,1.2192,1.2192,1.25453,1.30557,
1975-09-22 06:00:00,1.229,1.229,1.229,1.229,1.229,1.24927,1.29881,
1975-09-29 06:00:00,1.2517,1.2517,1.2517,1.2517,1.2517,1.24808,1.29251,
1975-10-06 06:00:00,1.2566,1.2566,1.2566,1.2566,1.2566,1.24778,1.2868,
1975-10-13 06:00:00,1.261,1.261,1.261,1.261,1.261,1.24773,1.2812,
1975-10-20 06:00:00,1.2636,1.2636,1.2636,1.2636,1.2636,1.24764,1.2756,
1975-10-27 06:00:00,1.2598,1.2598,1.2598,1.2598,1.2598,1.2478,1.26984,
1975-11-03 06:00:00,1.2486,1.2486,1.2486,1.2486,1.2486,1.24703,1.26396,
1975-11-10 06:00:00,1.2435,1.2435,1.2435,1.2435,1.2435,1.24629,1.25901,
1975-11-17 06:00:00,1.2346,1.2346,1.2346,1.2346,1.2346,1.24676,1.25452,
1975-11-24 06:00:00,1.2376,1.2376,1.2376,1.2376,1.2376,1.2486,1.25156,
1975-12-01 06:00:00,1.2329,1.2329,1.2329,1.2329,1.2329,1.24899,1.24913,1.30994
1975-12-08 06:00:00,1.2366,1.2366,1.2366,1.2366,1.2366,1.24748,1.24778,1.3083
1975-12-15 06:00:00,1.2404,1.2404,1.2404,1.2404,1.2404,1.24586,1.24682,1.30656
1975-12-22 06:00:00,1.2356,1.2356,1.2356,1.2356,1.2356,1.24332,1.24553,1.30474
1975-12-29 06:00:00,1.2407,1.2407,1.2407,1.2407,1.2407,1.24103,1.24434,1.30247
1976-01-05 06:00:00,1.2387,1.2387,1.2387,1.2387,1.2387,1.23892,1.24336,1.3003
1976-01-12 06:00:00,1.2252,1.2252,1.2252,1.2252,1.2252,1.23658,1.24181,1.29805
1976-01-19 06:00:00,1.2228,1.2228,1.2228,1.2228,1.2228,1.23451,1.2404,1.29542
1976-01-26 06:00:00,1.2262,1.2262,1.2262,1.2262,1.2262,1.23367,1.24022,1.29266
1976-02-02 06:00:00,1.2201,1.2201,1.2201,1.2201,1.2201,1.23192,1.24026,1.28937
1976-02-09 06:00:00,1.2142,1.2142,1.2142,1.2142,1.2142,1.23005,1.23952,1.28642
